Datum Tid (UTC) Lufttemperatur Kvalitet
1953 04 03 8.55 Y
1953 04 04 11.275 Y
1953 04 05 8.2 Y
1953 04 06 4.66667 Y
1953 04 07 4.5 Y
1953 04 08 4.3 Y
1953 04 09 4.225 Y
1953 04 10 2.56667 Y
1953 04 11 4.46667 Y
1953 04 12 6.6 Y
1953 04 13 9.475 Y
1953 04 14 5.25 Y
1953 04 15 3.66667 Y
1953 04 16 2.4 Y
1953 04 17 5.26667 Y
1953 04 18 6.06667 Y
1953 04 19 2.575 Y
1953 04 20 4.86667 Y
1953 04 21 6.8 Y
1953 04 22 6.73333 Y
1953 04 23 8.63333 Y
1953 04 24 9.23333 Y
1953 04 25 9.3 Y
1953 04 26 6.325 Y
1953 04 27 5.525 Y
1953 04 28 9.66667 Y
1953 04 29 9.825 Y
1953 04 30 8.925 Y
1953 05 01 9.9 Y
1953 05 02 13.325 Y
1953 05 03 11.075 Y
1953 05 04 7.6 Y
1953 05 05 7.03333 Y
1953 05 06 6.2 Y
1953 05 07 2.8 Y
1953 05 08 2.26667 Y
1953 05 09 4.66667 Y
1953 05 10 6.06667 Y
1953 05 11 5.7 Y
1953 05 12 5.1 Y
1953 05 13 5.35 Y
1953 05 14 7.86667 Y
1953 05 15 12.1 Y
1953 05 16 10.55 Y
1953 05 17 15.275 Y
1953 05 18 13.725 Y
1953 05 19 14.625 Y
1953 05 20 16.575 Y
1953 05 21 16.075 Y
1953 05 22 18.425 Y
1953 05 23 16.75 Y
1953 05 24 12.775 Y
1953 05 25 8.475 Y
1953 05 26 10.675 Y
1953 05 27 10.4 Y
1953 05 28 8.35 Y
1953 05 29 7.23333 Y
1953 05 30 9.55 Y
1953 05 31 10.5 Y
1953 06 01 10.725 Y
1953 06 02 11.75 Y
1953 06 03 8.875 Y
1953 06 04 9.9 Y
1953 06 05 13.175 Y
1953 06 06 12.175 Y
1953 06 07 13.25 Y
1953 06 08 14.25 Y
1953 06 09 14.7 Y
1953 06 10 17.1 Y
1953 06 11 15.55 Y
1953 06 12 13.6 Y
1953 06 13 13.15 Y
1953 06 14 14.5 Y
1953 06 15 16.15 Y
1953 06 16 18.65 Y
1953 06 17 20.75 Y
1953 06 18 17.8 Y
1953 06 19 16.875 Y
1953 06 20 15.825 Y
1953 06 21 17.35 Y
1953 06 22 18.325 Y
1953 06 23 18.875 Y
1953 06 24 17.625 Y
1953 06 25 20.9 Y
1953 06 26 23.4 Y
1953 06 27 18 Y
1953 06 28 15.75 Y
1953 06 29 21.475 Y
1953 06 30 17.6 Y
1953 07 01 20.225 Y
1953 07 02 20.15 Y
1953 07 03 22.925 Y
1953 07 04 21.875 Y
1953 07 05 15.325 Y
1953 07 06 16 Y
1953 07 07 16.1 Y
1953 07 08 15.825 Y
1953 07 09 16.35 Y
1953 07 10 16.525 Y
1953 07 11 15.575 Y
1953 07 12 15.625 Y
1953 07 13 16.575 Y
1953 07 14 16.55 Y
1953 07 15 16.25 Y
1953 07 16 16.3 Y
1953 07 17 17.075 Y
1953 07 18 16 Y
1953 07 19 16.375 Y
1953 07 20 16.3 Y
