Datum Tid (UTC) Lufttemperatur Kvalitet
1962 07 21 17.9667 G
1962 07 22 18.4333 G
1962 07 23 16.0667 G
1962 07 24 14.8 G
1962 07 25 14.7 G
1962 07 26 15.8667 G
1962 07 27 13.3333 G
1962 07 28 16.2667 G
1962 07 29 16.6 G
1962 07 30 16.0333 G
1962 07 31 16.2667 G
1962 08 01 16.7667 G
1962 08 02 14.9667 G
1962 08 03 16.2667 G
1962 08 04 16 G
1962 08 05 15.7 G
1962 08 06 15.5 G
1962 08 07 14.0333 G
1962 08 08 13.8 G
1962 08 09 14.4667 G
1962 08 10 13.1 G
1962 08 11 14.8333 G
1962 08 12 17.5 G
1962 08 13 15.4 G
1962 08 14 14.5 G
1962 08 15 12.0333 G
1962 08 16 15.3 G
1962 08 17 14.9333 G
1962 08 18 15.3333 G
1962 08 19 14.4333 G
1962 08 20 14.9333 G
1962 08 21 14.8333 G
1962 08 22 14.4333 G
1962 08 23 14.3667 G
1962 08 24 15.4 G
1962 08 25 14.2333 G
1962 08 26 14.9667 G
1962 08 27 13.4333 G
1962 08 28 14.2667 G
1962 08 29 14.1 G
1962 08 30 13.3 G
1962 08 31 12.4333 G
1962 09 01 14.4667 G
1962 09 02 13.8333 G
1962 09 03 15.7333 G
1962 09 04 16.6667 G
1962 09 05 14.8 G
1962 09 06 15.5 G
1962 09 07 12.6 G
1962 09 08 11.6 G
1962 09 09 12.1667 G
1962 09 10 15.7667 G
1962 09 11 13.9 G
1962 09 12 15.4667 G
1962 09 13 12.5 G
1962 09 14 12.2333 G
1962 09 15 10.4667 G
1962 09 16 12.9 G
1962 09 17 11.1333 G
1962 09 18 10.2667 G
1962 09 19 10.5 G
1962 09 20 11 G
1962 09 21 11.8333 G
1962 09 22 11.7 G
1962 09 23 11.4333 G
1962 09 24 9.93333 G
1962 09 25 12.6 G
1962 09 26 12.4 G
1962 09 27 10.6333 G
1962 09 28 11.3667 G
1962 09 29 11.1 G
1962 09 30 11.8667 G
1962 10 01 13.2333 G
1962 10 02 15.1667 G
1962 10 03 15.3667 G
1962 10 04 13.6667 G
1962 10 05 11.6333 G
1962 10 06 9.13333 G
1962 10 07 11.4 G
1962 10 08 10.2 G
1962 10 09 10.4333 G
1962 10 10 9.73333 G
1962 10 11 6.66667 G
